main_category,usd_pledged,count
Art,16.2834671099999,3968
Comics,12.20341902,2005
Crafts,2.97213665,1545
Dance,1.2709641,370
Design,162.34993019,5875
Fashion,25.4438621699999,4216
Film & Video,32.0207244299999,5523
Food,17.9720524399999,3197
Games,158.072331429999,6910
Journalism,1.82338265,627
Music,20.95496824,4875
Photography,6.95886670999999,1041
Publishing,24.8351490099999,5270
Technology,137.509957809999,5997
Theater,3.39159159,905
